Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Notes
Mon Mar 3 2014,7:30 pm,Charlotte Bobcats,107,Miami Heat,124,Box Score,,
Mon Mar 3 2014,8:00 pm,Utah Jazz,88,Milwaukee Bucks,114,Box Score,,
Mon Mar 3 2014,10:00 pm,Los Angeles Lakers,107,Portland Trail Blazers,106,Box Score,,
Mon Mar 3 2014,10:00 pm,New Orleans Pelicans,89,Sacramento Kings,96,Box Score,,
Mon Mar 3 2014,7:00 pm,Memphis Grizzlies,110,Washington Wizards,104,Box Score,,
Tue Mar 4 2014,7:00 pm,San Antonio Spurs,122,Cleveland Cavaliers,101,Box Score,,
Tue Mar 4 2014,8:00 pm,Miami Heat,103,Houston Rockets,106,Box Score,,
Tue Mar 4 2014,7:00 pm,Golden State Warriors,98,Indiana Pacers,96,Box Score,,
Tue Mar 4 2014,10:30 pm,New Orleans Pelicans,132,Los Angeles Lakers,125,Box Score,,
Tue Mar 4 2014,8:00 pm,Philadelphia 76ers,92,Oklahoma City Thunder,125,Box Score,,
Tue Mar 4 2014,9:00 pm,Los Angeles Clippers,104,Phoenix Suns,96,Box Score,,
Wed Mar 5 2014,7:30 pm,Golden State Warriors,108,Boston Celtics,88,Box Score,,
Wed Mar 5 2014,7:30 pm,Memphis Grizzlies,94,Brooklyn Nets,103,Box Score,,
Wed Mar 5 2014,7:00 pm,Indiana Pacers,87,Charlotte Bobcats,109,Box Score,,
Wed Mar 5 2014,8:00 pm,Dallas Mavericks,110,Denver Nuggets,115,Box Score,,
Wed Mar 5 2014,7:30 pm,Chicago Bulls,105,Detroit Pistons,94,Box Score,,
Wed Mar 5 2014,8:00 pm,Sacramento Kings,116,Milwaukee Bucks,102,Box Score,,
Wed Mar 5 2014,8:00 pm,New York Knicks,118,Minnesota Timberwolves,106,Box Score,,
Wed Mar 5 2014,7:00 pm,Houston Rockets,101,Orlando Magic,89,Box Score,,
Wed Mar 5 2014,10:30 pm,Atlanta Hawks,78,Portland Trail Blazers,102,Box Score,,
Wed Mar 5 2014,7:00 pm,Utah Jazz,91,Washington Wizards,104,Box Score,,
Thu Mar 6 2014,10:30 pm,Los Angeles Clippers,142,Los Angeles Lakers,94,Box Score,,
Thu Mar 6 2014,9:00 pm,Oklahoma City Thunder,122,Phoenix Suns,128,Box Score,,
Thu Mar 6 2014,8:00 pm,Miami Heat,87,San Antonio Spurs,111,Box Score,,
Fri Mar 7 2014,7:30 pm,Brooklyn Nets,84,Boston Celtics,91,Box Score,,
Fri Mar 7 2014,7:00 pm,Cleveland Cavaliers,92,Charlotte Bobcats,101,Box Score,,
Fri Mar 7 2014,7:00 pm,Memphis Grizzlies,85,Chicago Bulls,77,Box Score,,
Fri Mar 7 2014,8:30 pm,Portland Trail Blazers,98,Dallas Mavericks,103,Box Score,,
Fri Mar 7 2014,9:00 pm,Los Angeles Lakers,126,Denver Nuggets,134,Box Score,,
Fri Mar 7 2014,10:30 pm,Atlanta Hawks,97,Golden State Warriors,111,Box Score,,
Fri Mar 7 2014,9:30 pm,Indiana Pacers,86,Houston Rockets,112,Box Score,,
Fri Mar 7 2014,8:00 pm,Detroit Pistons,101,Minnesota Timberwolves,114,Box Score,,
Fri Mar 7 2014,8:00 pm,Milwaukee Bucks,104,New Orleans Pelicans,112,Box Score,,
Fri Mar 7 2014,7:30 pm,Utah Jazz,81,New York Knicks,108,Box Score,,
Fri Mar 7 2014,7:00 pm,Sacramento Kings,87,Toronto Raptors,99,Box Score,,
Sat Mar 8 2014,7:30 pm,New York Knicks,107,Cleveland Cavaliers,97,Box Score,,
Sat Mar 8 2014,10:30 pm,Atlanta Hawks,108,Los Angeles Clippers,109,Box Score,,
Sat Mar 8 2014,8:00 pm,Charlotte Bobcats,89,Memphis Grizzlies,111,Box Score,,
Sat Mar 8 2014,9:00 pm,Washington Wizards,114,Milwaukee Bucks,107,Box Score,,
Sat Mar 8 2014,7:30 pm,Utah Jazz,104,Philadelphia 76ers,92,Box Score,,
Sat Mar 8 2014,8:30 pm,Orlando Magic,112,San Antonio Spurs,121,Box Score,,
Sun Mar 9 2014,6:00 pm,Detroit Pistons,111,Boston Celtics,118,Box Score,,
Sun Mar 9 2014,6:00 pm,Sacramento Kings,89,Brooklyn Nets,104,Box Score,,
Sun Mar 9 2014,1:00 pm,Miami Heat,88,Chicago Bulls,95,Box Score,OT,
Sun Mar 9 2014,7:30 pm,Indiana Pacers,94,Dallas Mavericks,105,Box Score,,
Sun Mar 9 2014,9:00 pm,Phoenix Suns,107,Golden State Warriors,113,Box Score,,
Sun Mar 9 2014,7:00 pm,Portland Trail Blazers,113,Houston Rockets,118,Box Score,OT,
Sun Mar 9 2014,3:30 pm,Oklahoma City Thunder,110,Los Angeles Lakers,114,Box Score,,
Sun Mar 9 2014,7:00 pm,Toronto Raptors,111,Minnesota Timberwolves,104,Box Score,,
Sun Mar 9 2014,6:00 pm,Denver Nuggets,107,New Orleans Pelicans,111,Box Score,OT,
Mon Mar 10 2014,7:30 pm,Toronto Raptors,97,Brooklyn Nets,101,Box Score,,
Mon Mar 10 2014,7:00 pm,Denver Nuggets,98,Charlotte Bobcats,105,Box Score,,
Mon Mar 10 2014,10:30 pm,Phoenix Suns,105,Los Angeles Clippers,112,Box Score,,
Mon Mar 10 2014,7:30 pm,Washington Wizards,90,Miami Heat,99,Box Score,,
Mon Mar 10 2014,8:00 pm,Orlando Magic,98,Milwaukee Bucks,105,Box Score,,
Mon Mar 10 2014,7:30 pm,Philadelphia 76ers,110,New York Knicks,123,Box Score,,
Mon Mar 10 2014,9:00 pm,Atlanta Hawks,112,Utah Jazz,110,Box Score,,
Tue Mar 11 2014,8:00 pm,San Antonio Spurs,104,Chicago Bulls,96,Box Score,,
Tue Mar 11 2014,7:30 pm,Sacramento Kings,89,Detroit Pistons,99,Box Score,,
Tue Mar 11 2014,10:30 pm,Dallas Mavericks,85,Golden State Warriors,108,Box Score,,
Tue Mar 11 2014,7:00 pm,Boston Celtics,83,Indiana Pacers,94,Box Score,,
Tue Mar 11 2014,8:00 pm,Portland Trail Blazers,99,Memphis Grizzlies,109,Box Score,,
Tue Mar 11 2014,8:00 pm,Milwaukee Bucks,101,Minnesota Timberwolves,112,Box Score,,
Tue Mar 11 2014,8:00 pm,Houston Rockets,98,Oklahoma City Thunder,106,Box Score,,
Wed Mar 12 2014,7:30 pm,New York Knicks,116,Boston Celtics,92,Box Score,,
Wed Mar 12 2014,10:30 pm,Golden State Warriors,98,Los Angeles Clippers,111,Box Score,,
Wed Mar 12 2014,7:00 pm,Brooklyn Nets,96,Miami Heat,95,Box Score,,
Wed Mar 12 2014,8:00 pm,Memphis Grizzlies,90,New Orleans Pelicans,88,Box Score,,
Wed Mar 12 2014,7:00 pm,Denver Nuggets,120,Orlando Magic,112,Box Score,,
Wed Mar 12 2014,7:00 pm,Sacramento Kings,115,Philadelphia 76ers,98,Box Score,,
Wed Mar 12 2014,10:00 pm,Cleveland Cavaliers,110,Phoenix Suns,101,Box Score,,
Wed Mar 12 2014,9:30 pm,Portland Trail Blazers,90,San Antonio Spurs,103,Box Score,,
Wed Mar 12 2014,7:00 pm,Detroit Pistons,87,Toronto Raptors,101,Box Score,,
Wed Mar 12 2014,9:00 pm,Dallas Mavericks,108,Utah Jazz,101,Box Score,,
Wed Mar 12 2014,7:00 pm,Charlotte Bobcats,98,Washington Wizards,85,Box Score,,
Thu Mar 13 2014,7:30 pm,Milwaukee Bucks,97,Atlanta Hawks,102,Box Score,,
Thu Mar 13 2014,7:00 pm,Houston Rockets,87,Chicago Bulls,111,Box Score,,
Thu Mar 13 2014,9:30 pm,Los Angeles Lakers,102,Oklahoma City Thunder,131,Box Score,,
Fri Mar 14 2014,7:30 pm,Phoenix Suns,87,Boston Celtics,80,Box Score,,
Fri Mar 14 2014,7:00 pm,Minnesota Timberwolves,93,Charlotte Bobcats,105,Box Score,,
Fri Mar 14 2014,10:30 pm,Cleveland Cavaliers,103,Golden State Warriors,94,Box Score,,
Fri Mar 14 2014,7:30 pm,Denver Nuggets,111,Miami Heat,107,Box Score,,
Fri Mar 14 2014,8:00 pm,Portland Trail Blazers,111,New Orleans Pelicans,103,Box Score,,
Fri Mar 14 2014,7:00 pm,Washington Wizards,105,Orlando Magic,101,Box Score,OT,
Fri Mar 14 2014,7:00 pm,Indiana Pacers,101,Philadelphia 76ers,94,Box Score,,
Fri Mar 14 2014,8:30 pm,Los Angeles Lakers,85,San Antonio Spurs,119,Box Score,,
Fri Mar 14 2014,7:00 pm,Memphis Grizzlies,86,Toronto Raptors,99,Box Score,,
Fri Mar 14 2014,9:00 pm,Los Angeles Clippers,96,Utah Jazz,87,Box Score,,
Sat Mar 15 2014,7:30 pm,Denver Nuggets,92,Atlanta Hawks,97,Box Score,,
Sat Mar 15 2014,8:00 pm,Sacramento Kings,87,Chicago Bulls,94,Box Score,,
Sat Mar 15 2014,7:30 pm,Indiana Pacers,112,Detroit Pistons,104,Box Score,OT,
Sat Mar 15 2014,12:00 am,Milwaukee Bucks,94,New York Knicks,115,Box Score,,
Sat Mar 15 2014,7:30 pm,Memphis Grizzlies,103,Philadelphia 76ers,77,Box Score,,
Sat Mar 15 2014,7:00 pm,Brooklyn Nets,94,Washington Wizards,101,Box Score,,
Sun Mar 16 2014,9:30 pm,Cleveland Cavaliers,80,Los Angeles Clippers,102,Box Score,,
Sun Mar 16 2014,3:30 pm,Houston Rockets,104,Miami Heat,113,Box Score,,
Sun Mar 16 2014,1:00 pm,Charlotte Bobcats,101,Milwaukee Bucks,92,Box Score,,
Sun Mar 16 2014,7:00 pm,Sacramento Kings,102,Minnesota Timberwolves,104,Box Score,,
Sun Mar 16 2014,6:00 pm,Boston Celtics,120,New Orleans Pelicans,121,Box Score,OT,
Sun Mar 16 2014,7:00 pm,Dallas Mavericks,109,Oklahoma City Thunder,86,Box Score,,
Sun Mar 16 2014,9:00 pm,Golden State Warriors,113,Portland Trail Blazers,112,Box Score,,
Sun Mar 16 2014,7:00 pm,Utah Jazz,104,San Antonio Spurs,122,Box Score,,
Sun Mar 16 2014,1:00 pm,Phoenix Suns,121,Toronto Raptors,113,Box Score,,
Mon Mar 17 2014,7:30 pm,Phoenix Suns,95,Brooklyn Nets,108,Box Score,,
Mon Mar 17 2014,7:00 pm,Atlanta Hawks,97,Charlotte Bobcats,83,Box Score,,
Mon Mar 17 2014,8:00 pm,Oklahoma City Thunder,97,Chicago Bulls,85,Box Score,,
Mon Mar 17 2014,8:30 pm,Boston Celtics,89,Dallas Mavericks,94,Box Score,,
Mon Mar 17 2014,10:30 pm,Los Angeles Clippers,100,Denver Nuggets,110,Box Score,,
Mon Mar 17 2014,8:00 pm,Utah Jazz,86,Houston Rockets,124,Box Score,,
Mon Mar 17 2014,7:00 pm,Philadelphia 76ers,90,Indiana Pacers,99,Box Score,,
Tue Mar 18 2014,7:30 pm,Toronto Raptors,113,Atlanta Hawks,118,Box Score,OT,
Tue Mar 18 2014,7:00 pm,Miami Heat,100,Cleveland Cavaliers,96,Box Score,,
Tue Mar 18 2014,10:30 pm,Orlando Magic,89,Golden State Warriors,103,Box Score,,
Tue Mar 18 2014,10:00 pm,Milwaukee Bucks,115,Portland Trail Blazers,120,Box Score,OT,
Tue Mar 18 2014,10:00 pm,Washington Wizards,111,Sacramento Kings,117,Box Score,OT,
Wed Mar 19 2014,7:30 pm,Miami Heat,96,Boston Celtics,101,Box Score,,
Wed Mar 19 2014,7:30 pm,Charlotte Bobcats,99,Brooklyn Nets,104,Box Score,,
Wed Mar 19 2014,8:30 pm,Minnesota Timberwolves,123,Dallas Mavericks,122,Box Score,OT,
Wed Mar 19 2014,9:00 pm,Detroit Pistons,109,Denver Nuggets,118,Box Score,,
Wed Mar 19 2014,10:30 pm,San Antonio Spurs,125,Los Angeles Lakers,109,Box Score,,
Wed Mar 19 2014,8:00 pm,Utah Jazz,86,Memphis Grizzlies,96,Box Score,,
Wed Mar 19 2014,8:00 pm,Toronto Raptors,107,New Orleans Pelicans,100,Box Score,,
Wed Mar 19 2014,8:00 pm,Indiana Pacers,86,New York Knicks,92,Box Score,,
Wed Mar 19 2014,7:00 pm,Chicago Bulls,102,Philadelphia 76ers,94,Box Score,,
Wed Mar 19 2014,10:00 pm,Orlando Magic,93,Phoenix Suns,109,Box Score,,
Thu Mar 20 2014,7:00 pm,Oklahoma City Thunder,102,Cleveland Cavaliers,95,Box Score,,
Thu Mar 20 2014,10:30 pm,Milwaukee Bucks,110,Golden State Warriors,115,Box Score,,
Thu Mar 20 2014,8:00 pm,Minnesota Timberwolves,106,Houston Rockets,129,Box Score,,
Thu Mar 20 2014,10:00 pm,Washington Wizards,103,Portland Trail Blazers,116,Box Score,,
Fri Mar 21 2014,7:30 pm,New Orleans Pelicans,111,Atlanta Hawks,105,Box Score,,
Fri Mar 21 2014,7:30 pm,Boston Celtics,98,Brooklyn Nets,114,Box Score,,
Fri Mar 21 2014,8:30 pm,Denver Nuggets,106,Dallas Mavericks,122,Box Score,,
Fri Mar 21 2014,7:00 pm,Chicago Bulls,79,Indiana Pacers,91,Box Score,,
Fri Mar 21 2014,10:30 pm,Washington Wizards,117,Los Angeles Lakers,107,Box Score,,
Fri Mar 21 2014,7:30 pm,Memphis Grizzlies,86,Miami Heat,91,Box Score,,
Fri Mar 21 2014,7:00 pm,New York Knicks,93,Philadelphia 76ers,92,Box Score,,
Fri Mar 21 2014,10:00 pm,Detroit Pistons,92,Phoenix Suns,98,Box Score,,
Fri Mar 21 2014,10:00 pm,San Antonio Spurs,99,Sacramento Kings,79,Box Score,,
Fri Mar 21 2014,7:00 pm,Oklahoma City Thunder,119,Toronto Raptors,118,Box Score,2OT,
Sat Mar 22 2014,7:00 pm,Portland Trail Blazers,94,Charlotte Bobcats,124,Box Score,,
Sat Mar 22 2014,8:00 pm,Philadelphia 76ers,81,Chicago Bulls,91,Box Score,,
Sat Mar 22 2014,7:30 pm,Houston Rockets,118,Cleveland Cavaliers,111,Box Score,,
Sat Mar 22 2014,10:30 pm,San Antonio Spurs,99,Golden State Warriors,90,Box Score,,
Sat Mar 22 2014,10:30 pm,Detroit Pistons,103,Los Angeles Clippers,112,Box Score,,
Sat Mar 22 2014,8:00 pm,Indiana Pacers,71,Memphis Grizzlies,82,Box Score,,
Sat Mar 22 2014,8:00 pm,Miami Heat,95,New Orleans Pelicans,105,Box Score,,
Sat Mar 22 2014,9:00 pm,Orlando Magic,88,Utah Jazz,89,Box Score,,
Sun Mar 23 2014,7:30 pm,Brooklyn Nets,107,Dallas Mavericks,104,Box Score,OT,
Sun Mar 23 2014,5:00 pm,Washington Wizards,102,Denver Nuggets,105,Box Score,,
Sun Mar 23 2014,9:30 pm,Orlando Magic,94,Los Angeles Lakers,103,Box Score,,
Sun Mar 23 2014,3:30 pm,Phoenix Suns,127,Minnesota Timberwolves,120,Box Score,,
Sun Mar 23 2014,7:30 pm,Cleveland Cavaliers,106,New York Knicks,100,Box Score,,
Sun Mar 23 2014,6:00 pm,Milwaukee Bucks,107,Sacramento Kings,124,Box Score,,
Sun Mar 23 2014,1:00 pm,Atlanta Hawks,86,Toronto Raptors,96,Box Score,,
Mon Mar 24 2014,7:30 pm,Phoenix Suns,102,Atlanta Hawks,95,Box Score,,
Mon Mar 24 2014,7:00 pm,Houston Rockets,100,Charlotte Bobcats,89,Box Score,,
Mon Mar 24 2014,8:00 pm,Indiana Pacers,77,Chicago Bulls,89,Box Score,,
Mon Mar 24 2014,10:30 pm,Milwaukee Bucks,98,Los Angeles Clippers,106,Box Score,,
Mon Mar 24 2014,8:00 pm,Minnesota Timberwolves,92,Memphis Grizzlies,109,Box Score,,
Mon Mar 24 2014,7:30 pm,Portland Trail Blazers,91,Miami Heat,93,Box Score,,
Mon Mar 24 2014,8:00 pm,Brooklyn Nets,104,New Orleans Pelicans,109,Box Score,OT,
Mon Mar 24 2014,8:00 pm,Denver Nuggets,96,Oklahoma City Thunder,117,Box Score,,
Mon Mar 24 2014,8:30 pm,Philadelphia 76ers,91,San Antonio Spurs,113,Box Score,,
Mon Mar 24 2014,9:00 pm,Detroit Pistons,114,Utah Jazz,94,Box Score,,
Tue Mar 25 2014,7:00 pm,Toronto Raptors,100,Cleveland Cavaliers,102,Box Score,,
Tue Mar 25 2014,8:00 pm,Oklahoma City Thunder,119,Dallas Mavericks,128,Box Score,OT,
Tue Mar 25 2014,10:30 pm,New York Knicks,96,Los Angeles Lakers,127,Box Score,,
Tue Mar 25 2014,7:00 pm,Portland Trail Blazers,85,Orlando Magic,95,Box Score,,
Wed Mar 26 2014,7:30 pm,Toronto Raptors,99,Boston Celtics,90,Box Score,,
Wed Mar 26 2014,7:00 pm,Brooklyn Nets,111,Charlotte Bobcats,116,Box Score,OT,
Wed Mar 26 2014,7:30 pm,Cleveland Cavaliers,97,Detroit Pistons,96,Box Score,,
Wed Mar 26 2014,8:00 pm,Miami Heat,83,Indiana Pacers,84,Box Score,,
Wed Mar 26 2014,8:00 pm,Atlanta Hawks,83,Minnesota Timberwolves,107,Box Score,,
Wed Mar 26 2014,8:00 pm,Los Angeles Clippers,96,New Orleans Pelicans,98,Box Score,,
Wed Mar 26 2014,10:00 pm,New York Knicks,107,Sacramento Kings,99,Box Score,,
Wed Mar 26 2014,8:30 pm,Denver Nuggets,103,San Antonio Spurs,108,Box Score,,
Wed Mar 26 2014,10:30 pm,Memphis Grizzlies,91,Utah Jazz,87,Box Score,,
Wed Mar 26 2014,7:00 pm,Phoenix Suns,99,Washington Wizards,93,Box Score,,
Thu Mar 27 2014,7:30 pm,Portland Trail Blazers,100,Atlanta Hawks,85,Box Score,,
Thu Mar 27 2014,8:30 pm,Los Angeles Clippers,109,Dallas Mavericks,103,Box Score,,
Thu Mar 27 2014,8:00 pm,Philadelphia 76ers,98,Houston Rockets,120,Box Score,,
Thu Mar 27 2014,8:00 pm,Los Angeles Lakers,105,Milwaukee Bucks,108,Box Score,,
Fri Mar 28 2014,7:30 pm,Cleveland Cavaliers,97,Brooklyn Nets,108,Box Score,,
Fri Mar 28 2014,8:00 pm,Portland Trail Blazers,91,Chicago Bulls,74,Box Score,,
Fri Mar 28 2014,9:00 pm,San Antonio Spurs,133,Denver Nuggets,102,Box Score,,
Fri Mar 28 2014,7:30 pm,Miami Heat,110,Detroit Pistons,78,Box Score,,
Fri Mar 28 2014,10:30 pm,Memphis Grizzlies,93,Golden State Warriors,100,Box Score,,
Fri Mar 28 2014,8:00 pm,Los Angeles Lakers,107,Minnesota Timberwolves,143,Box Score,,
Fri Mar 28 2014,8:00 pm,Utah Jazz,95,New Orleans Pelicans,102,Box Score,,
Fri Mar 28 2014,8:00 pm,Sacramento Kings,81,Oklahoma City Thunder,94,Box Score,,
Fri Mar 28 2014,7:00 pm,Charlotte Bobcats,105,Orlando Magic,110,Box Score,OT,
Fri Mar 28 2014,10:00 pm,New York Knicks,88,Phoenix Suns,112,Box Score,,
Fri Mar 28 2014,7:00 pm,Boston Celtics,103,Toronto Raptors,105,Box Score,,
Fri Mar 28 2014,7:00 pm,Indiana Pacers,78,Washington Wizards,91,Box Score,,
Sat Mar 29 2014,8:30 pm,Sacramento Kings,100,Dallas Mavericks,103,Box Score,,
Sat Mar 29 2014,8:00 pm,Los Angeles Clippers,118,Houston Rockets,107,Box Score,,
Sat Mar 29 2014,8:30 pm,Miami Heat,88,Milwaukee Bucks,67,Box Score,,
Sat Mar 29 2014,7:30 pm,Detroit Pistons,98,Philadelphia 76ers,123,Box Score,,
Sat Mar 29 2014,8:30 pm,New Orleans Pelicans,80,San Antonio Spurs,96,Box Score,,
Sat Mar 29 2014,8:00 pm,Atlanta Hawks,97,Washington Wizards,101,Box Score,,
Sun Mar 30 2014,7:00 pm,Chicago Bulls,107,Boston Celtics,102,Box Score,,
Sun Mar 30 2014,6:00 pm,Minnesota Timberwolves,99,Brooklyn Nets,114,Box Score,,
Sun Mar 30 2014,3:00 pm,Indiana Pacers,76,Cleveland Cavaliers,90,Box Score,,
Sun Mar 30 2014,9:00 pm,New York Knicks,89,Golden State Warriors,84,Box Score,,
Sun Mar 30 2014,9:30 pm,Phoenix Suns,99,Los Angeles Lakers,115,Box Score,,
Sun Mar 30 2014,3:00 pm,Utah Jazz,96,Oklahoma City Thunder,116,Box Score,,
Sun Mar 30 2014,6:00 pm,Toronto Raptors,98,Orlando Magic,93,Box Score,,
Sun Mar 30 2014,9:00 pm,Memphis Grizzlies,98,Portland Trail Blazers,105,Box Score,,
Mon Mar 31 2014,7:30 pm,Philadelphia 76ers,95,Atlanta Hawks,103,Box Score,,
Mon Mar 31 2014,7:00 pm,Washington Wizards,94,Charlotte Bobcats,100,Box Score,,
Mon Mar 31 2014,8:00 pm,Boston Celtics,80,Chicago Bulls,94,Box Score,,
Mon Mar 31 2014,9:00 pm,Memphis Grizzlies,94,Denver Nuggets,92,Box Score,,
Mon Mar 31 2014,7:30 pm,Milwaukee Bucks,111,Detroit Pistons,116,Box Score,,
Mon Mar 31 2014,7:00 pm,San Antonio Spurs,103,Indiana Pacers,77,Box Score,,
Mon Mar 31 2014,7:30 pm,Toronto Raptors,83,Miami Heat,93,Box Score,,
Mon Mar 31 2014,8:00 pm,Los Angeles Clippers,114,Minnesota Timberwolves,104,Box Score,,
Mon Mar 31 2014,8:00 pm,Sacramento Kings,102,New Orleans Pelicans,97,Box Score,,
Mon Mar 31 2014,9:00 pm,New York Knicks,92,Utah Jazz,83,Box Score,,
